stop_name	stop_lat	stop_lon
ELMWOOD DR AT SENIOR	40.359966	-79.963363
PENNSYLVANIA AVE AT CONLIN	40.361833	-79.867899
PROSPECT RD AT STILLEY FS	40.359751	-79.980207
PENNSYLVANIA AVE AT MELLON	40.362044	-79.858885
ELMWOOD DR AT SENIOR	40.360084	-79.963748
DEWEY AVE AT STATION	40.357199	-80.109572
PENNSYLVANIA AVE AT TAFT	40.362033	-79.861697
PENNSYLVANIA AVE AT CARNEGIE	40.362132	-79.856419
CRAWFORD ST AT MIFFLIN	40.362167	-79.854995
PENNSYLVANIA AVE AT MELLON	40.362134	-79.858578
PENNSYLVANIA AVE AT NEEL FS	40.362052	-79.863921
PENNSYLVANIA AVE AT CARNEGIE	40.362202	-79.85607
PENNSYLVANIA AVE AT TAFT	40.362117	-79.861377
FT COUCH RD OPP SKENDER	40.358215	-80.066039
MCMILLAN RD AT FT COUCH FS	40.358104	-80.071634
PENNSYLVANIA AVE AT VERMONT	40.362043	-79.866977
MELLON ST AT PENNSYLVANIA	40.36221	-79.85886
PROSPECT RD AT BERYL	40.360295	-79.961577
PENNSYLVANIA AVE OPP NEEL	40.362136	-79.863628
CRAWFORD ST AT MIFFLIN	40.362307	-79.854717
FT COUCH RD AT MCMILLAN	40.358159	-80.071555
PENNSYLVANIA AVE AT VERMONT	40.362119	-79.866549
FT COUCH RD AT SKENDER FS	40.358312	-80.065811
CRAWFORD ST AT JUNO	40.362451	-79.853767
VILLAGE LANE AT WEYMAN	40.359687	-80.00091
WEYMAN RD OPP VILLAGE LANE	40.359699	-80.000708
CONLIN ST AT CAROLINA	40.362194	-79.869476
CRAWFORD ST AT JUNO	40.362487	-79.853873
WEYMAN RD AT VILLAGE LANE	40.359826	-80.000858
BERYL DR AT #1644	40.360686	-79.960256
CONLIN ST AT CAROLINA FS	40.362394	-79.869676
ELMWOOD DR AT #4904	40.360622	-79.96442
CRAWFORD ST AT WOOL	40.362827	-79.852243
HOLLYROOD DR AT #1723	40.360875	-79.956935
CRAWFORD ST AT MONTEREY	40.362904	-79.852228
ELMWOOD DR AT #4879	40.360812	-79.964565
CONLIN ST AT WORTON	40.362583	-79.870435
CRAWFORD ST AT MONTEREY	40.362927	-79.852069
GILKESON RD AT OLD GILKESON	40.359016	-80.059728
E WILLOCK RD OPP #4871	40.360843	-79.966805
RAILROAD ST AT STATION	40.358012	-80.11071
MELLON ST AT HIGHLAND FS	40.362905	-79.858945
MELLON ST OPP HIGHLAND	40.362924	-79.858845
GILKESON RD OPP OLD GILKESON	40.359121	-80.060331
PROSPECT RD AT BAUMAN	40.360719	-79.979948
PROSPECT RD AT BAUMAN	40.360729	-79.979842
WASHINGTON AVE AT STATION NS	40.358101	-80.112337
PROSPECT RD OPP BAUMAN	40.360781	-79.98
BOWER HILL RD AT MCLAUGHLIN	40.358312	-80.105427
RAILROAD ST AT #435 (STATION)	40.358257	-80.110479
BOWER HILL RD OPP MCLAUGHLIN	40.35837	-80.1051
HAMILTON RD OPP MIDDLEBORO	40.360192	-80.015512
HOLLYROOD DR AT DUNLUCE	40.361346	-79.957791
E WILLOCK RD AT #4871	40.361196	-79.96693
BROWNSVILLE RD AT BAPTIST FS	40.360737	-79.990848
PROSPECT RD OPP BERYL	40.361297	-79.962191
LEBANON RD AT NOBLE (W MIFFLIN GARAGE)	40.361895	-79.93222
PAINTERS RUN RD AT MCMILLAN	40.359133	-80.073722
BAPTIST RD OPP PANAMA LODGE	40.360736	-79.99397
PAINTERS RUN RD OPP MCMILLAN RD FS	40.359187	-80.07382
BROWNSVILLE RD AT BAPTIST	40.360843	-79.990724
WORTON BLVD AT CONLIN	40.363132	-79.870729
BOWER HILL RD AT #736	40.358611	-80.103965
HAMILTON RD AT MIDDLEBORO	40.360388	-80.015349
HWY RT 51 AT STILLEY	40.361117	-79.98234
NOBLE RD AT LEBANON	40.362083	-79.931828
NOBLE RD AT LEBANON	40.362093	-79.931928
BOWER HILL RD AT #737	40.358725	-80.103936
PROSPECT RD AT #1544	40.361533	-79.96255
PROSPECT RD AT #1544	40.361548	-79.962571
STILLEY RD AT HWY RT 51 FS	40.361181	-79.982157
BAPTIST RD AT OLD BOSTON	40.360956	-79.993964
WASHINGTON AVE AT STATION	40.358619	-80.112249
RAILROAD ST AT BALDWIN	40.358687	-80.109887
STILLEY RD AT HWY RT 51	40.361238	-79.982028
BAPTIST RD AT NORWIN	40.361047	-79.992409
LEBANON RD OPP NOBLE (W MIFFLIN GARAGE)	40.362237	-79.932161
MIFFLIN GARAGE AT PARKING AREA	40.362378	-79.929435
HWY RT 51 OPP STILLEY	40.361406	-79.98279
PROSPECT RD OPP #1544	40.361792	-79.963227
E WILLOCK RD AT #4851	40.361749	-79.967288
WEST MIFFLIN GARAGE AT PARKING AREA - NO STOP	40.362478	-79.929535
PROVOST RD AT BAPTIST FS	40.361317	-79.991058
BOWER HILL RD AT LIBERTY	40.358984	-80.108755
ELMWOOD DR AT YOUNG	40.361852	-79.965933
HOLLYROOD DR AT #1647	40.361987	-79.958974
MELLON ST OPP VERMONT	40.363904	-79.858995
PROVOST RD AT BAPTIST	40.361417	-79.991473
MCROBERTS RD AT HAMILTON FS	40.360987	-80.014331
BAPTIST RD AT PANAMA LODGE	40.361426	-79.99288
ELMWOOD DR OPP YOUNG	40.361956	-79.966177
MELLON ST AT VERMONT	40.363965	-79.859102
PAINTERS RUN RD AT ZAKS MARKET	40.359786	-80.076777
PAINTERS RUN RD OPP ZAKS MARKET	40.359789	-80.076667
MCROBERTS RD AT HAMILTON	40.361078	-80.014281
BAPTIST RD OPP NORWIN	40.361672	-79.993625
PRIVATE R/WAY AT ST ANNE'S	40.360991	-80.029315
PRIVATE R/WAY AT ST ANNE'S	40.36102	-80.029166
PROSPECT RD AT WAINWRIGHT	40.362198	-79.978565
HOMEVILLE RD AT WORTON	40.364324	-79.869876
WORTON BLVD AT HOMESTEAD-DUQUESNE	40.364337	-79.869744
BOWER HILL RD AT #802	40.359853	-80.101774
HOLLYROOD DR AT TRETTER	40.362653	-79.960814
BOWER HILL RD AT #797	40.359895	-80.101863
PROSPECT RD OPP WAINWRIGHT	40.362354	-79.978229
HOLLYROOD DR OPP ELDERSLEE	40.362685	-79.962603
MELLON ST OPP MAINE	40.364742	-79.85912
MCROBERTS RD OPP CASTLE	40.361891	-80.012915
PROSPECT RD AT ELMWOOD	40.362779	-79.967312
MELLON ST AT MAINE	40.364831	-79.859235
HOLLYROOD DR AT PROSPECT	40.362899	-79.963566
MCROBERTS RD AT GROVE	40.361993	-80.011407
BROWNSVILLE RD OPP #4350	40.36247	-79.987599
MCROBERTS RD AT CASTLE	40.362007	-80.012623
MCROBERTS RD AT GROVE	40.362067	-80.011121
PROSPECT RD OPP COULTER	40.362859	-79.970609
ELMWOOD DR AT PROSPECT FS	40.362938	-79.966634
BROWNSVILLE RD AT #4350	40.36259	-79.987481
PROSPECT RD OPP #1134	40.362809	-79.976955
PROSPECT RD AT #1134	40.362821	-79.976797
PROSPECT RD AT COULTER	40.362963	-79.97117
WASHINGTON AVE OPP MURRAY	40.360188	-80.111453
PROSPECT RD AT RADFORD	40.363064	-79.968211
ELMWOOD DR AT PROSPECT	40.3631	-79.96654
WEYMAN RD OPP SOUTH PASSAGE	40.362453	-80.000373
MAPLE DR AT PROSPECT	40.363168	-79.964054
WASHINGTON AVE AT MURRAY	40.360274	-80.111526
WEYMAN RD AT SOUTH PASSAGE	40.362568	-80.000507
GILKESON RD OPP CEDAR FS	40.36136	-80.063548
BROWNSVILLE RD OPP OLD CLAIRTON	40.362915	-79.984958
PROSPECT RD AT E WILLOCK	40.36336	-79.968261
HWY RT 51 AT BROWNSVILLE FS	40.363111	-79.983791
PROVOST RD AT MULBERRY	40.362994	-79.992169
GILKESON RD AT CEDAR	40.361618	-80.063658
MELLON ST AT TEXAS	40.365535	-79.859227
MIFFLIN RD AT NAUGLE	40.364642	-79.908137
PROVOST RD AT LAWNVIEW	40.363053	-79.992272
BROWNSVILLE RD AT OLD CLAIRTON	40.363209	-79.984676
PAINTERS RUN RD OPP ESSEN HILL	40.361327	-80.081013
HOMEVILLE RD AT DUQUESNE VLG ENT #2	40.365392	-79.870541
DUQUESNE VILLAGE AT WHITLOCK AUTO	40.36538	-79.871364
DUQUESNE VILLAGE AT FOODLAND	40.365381	-79.87294
TEXAS AVE AT MELLON	40.365725	-79.859194
MIFFLIN RD OPP NAUGLE	40.364837	-79.908398
HOMEVILLE RD OPP DUQUESNE VILLAGE	40.365558	-79.870421
PAINTERS RUN RD AT ESSEN HILL	40.361501	-80.081277
BOWER HILL RD AT COOK SCHOOL	40.361122	-80.100213
PROSPECT RD AT GIESE	40.363612	-79.975058
BOWER HILL RD OPP COOKS SCHOOL	40.361199	-80.100246
HWY RT 51 AT BROWNSVILLE	40.363567	-79.983807
PROSPECT RD OPP GIESE	40.363769	-79.974865
TEXAS AVE AT MELLON	40.366012	-79.857773
RADFORD RD AT E WILLOCK-NO STOP	40.36395	-79.967899
BOWER HILL RD AT BEDNER'S FARM STORE	40.361569	-80.089698
BOWER HILL RD OPP BEDNER'S FARM STORE	40.361636	-80.089679
BROWNSVILLE RD AT HWY RT 51-NO STOP	40.363814	-79.984149
KENNEDY AVE AT MIFFLIN	40.366195	-79.857644
BOWER HILL RD OPP UNIVERSAL CYCLOPS	40.361688	-80.091533
PROSPECT RD OPP ABBOTT	40.364043	-79.973216
PROSPECT RD AT ABBOTT	40.364067	-79.973044
MCROBERTS RD AT MAGNOLIA	40.363388	-80.009722
RADFORD RD OPP BEVAN	40.364271	-79.967409
BOWER HILL RD AT UNIVERSAL CYCLOPS	40.361805	-80.09235
HWY RT 51 AT BROWNSVILLE NS	40.363962	-79.984378
KENNEDY AVE OPP DELL	40.36638	-79.857311
PROVOST RD AT BARLIND	40.363842	-79.992137
MCROBERTS RD OPP MAGNOLIA	40.36356	-80.00982
RADFORD RD OPP PARKLINE	40.364393	-79.967272
MAPLE DR AT SKYLINE	40.3645	-79.964647
KENNEDY AVE AT DELL	40.366524	-79.857235
RADFORD RD AT TERMINUS (OPP 7-11)	40.36449	-79.967326
PROVOST RD AT BARLIND	40.364056	-79.992224
SKYLINE DR AT MAPLE	40.364688	-79.964702
BOWER HILL RD AT SYLVA	40.362091	-80.097873
RADFORD RD OPP MAPLE	40.36475	-79.964661
PRIVATE R/WAY AT MARTIN VILLA	40.363522	-80.0285
BOWER HILL RD AT UNION	40.362219	-80.09764
PRIVATE R/WAY AT MARTIN VILLA	40.363631	-80.028289
WEYMAN RD AT MAIDEN BRIDGE	40.364224	-79.999702
BROWNSVILLE RD AT DEWALT-NO STOP	40.364542	-79.98342
BROWNSVILLE RD OPP DEWALT	40.364668	-79.983203
HOMEVILLE RD OPP SHELL GAS STATION	40.366807	-79.871371
CEDAR BLVD OPP #1331	40.363127	-80.063557
HOMEVILLE RD AT DUQUESNE VLG ENT #1	40.366824	-79.871602
RADFORD RD AT PARKLINE	40.365041	-79.96678
PAINTERS RUN RD OPP BEAUTY SALON	40.362829	-80.083915
RADFORD RD AT SKYLINE	40.365143	-79.967529
WEYMAN RD AT HENNIG FS (MAIDEN BRIDGE)	40.364527	-79.999629
PARKLINE DR AT RADFORD FS	40.365187	-79.966927
PAINTERS RUN RD AT BEAUTY SALON	40.362947	-80.083915
PROVOST RD AT BRIGHTVIEW	40.364796	-79.992084
MCROBERTS RD AT HIGHLAND VILLA	40.364478	-80.009772
KENNEDY AVE AT PETER	40.367437	-79.85591
PROVOST RD AT BRIGHTVIEW	40.364955	-79.992194
MCROBERTS RD OPP HIGHLAND VILLA	40.364655	-80.009791
PRESTLEY RD AT WASHINGTON PIKE	40.36264	-80.110758
KENNEDY AVE AT PETER	40.367589	-79.855837
STREETS RUN RD OPP SCHUETTE	40.365876	-79.94941
LIBRARY RD AT CASTLE SHANNON BLVD	40.364497	-80.022108
PARKLINE DR OPP SKYLINE	40.365566	-79.967533
WASHINGTON AVE AT PRESTLEY	40.362741	-80.110481
MIFFLIN RD AT MOHRBACH	40.366697	-79.90985
SKYLINE DR AT #1765	40.365719	-79.963964
STREETS RUN RD AT SCHUETTE	40.36601	-79.949482
WASHINGTON PIKE AT SCHULTE	40.362865	-80.110296
MIFFLIN RD AT MOHRBACH FS	40.366872	-79.909826
BROWNSVILLE RD AT GIANT EAGLE DRVWY	40.365492	-79.982703
PARKLINE DR OPP #1627	40.365899	-79.967937
BROWNSVILLE RD AT #4133	40.365629	-79.982195
LIBRARY RD OPP SHANNON SQUARE SHOPPES	40.36511	-80.018001
CEDAR BLVD AT #1281	40.364242	-80.062646
LIBRARY RD AT SHANNON SQUARE SHOPPES	40.36515	-80.018079
CEDAR BLVD OPP #1289	40.364293	-80.062736
PRESTLEY RD AT CHESS	40.363289	-80.112385
BOWER HILL RD OPP PAINTERS RUN FS	40.363806	-80.087079
BROWNSVILLE RD AT MEADOWBROOK NS	40.365909	-79.981819
BOWER HILL RD AT PAINTERS RUN	40.363918	-80.086878
SKYLINE DR AT #1720	40.366603	-79.962567
SKYLINE DR OPP #1725	40.366646	-79.962511
PROVOST RD OPP CEMETERY ENT	40.366101	-79.99286
PRIVATE R/WAY AT OVERBROOK JCT OUTBOUND STATION	40.365459	-80.026634
SCHUETTE RD OPP #3964	40.366895	-79.952669
KENNEDY AVE OPP WILMOT	40.368729	-79.854508
PRIVATE R/WAY AT OVERBROOK JCT INBOUND STATION	40.365487	-80.026444
HOMEVILLE RD AT AMERICAN MOTORS	40.368438	-79.872022
PRIVATE R/WAY AT WILLOW AVE INBOUND STATION	40.36552	-80.026093
BROWNSVILLE RD OPP TOWN SQUARE DRVWY	40.366403	-79.981096
BOWER HILL RD AT PAINTERS RUN FS	40.364331	-80.086703
PRIVATE R/WAY AT WILLOW AVE OUTBOUND STATION	40.365589	-80.026189
HWY RT 51 AT BRENTWOOD TOWN SQUARE	40.366409	-79.984252
PROVOST RD AT CEMETERY ENT	40.366244	-79.992834
KENNEDY AVE AT WILMOT	40.368915	-79.854454
LEBANON RD AT IRWIN	40.36753	-79.929751
BROWNSVILLE RD OPP MEADOWBROOK (#4063)	40.36656	-79.981331
INTERBORO AVE AT RODGERS	40.367851	-79.914311
BROWNSVILLE RD AT TOWN SQUARE DRVWY	40.366585	-79.981268
CEDAR BLVD OPP #1269	40.365143	-80.062038
MCROBERTS RD AT TRANCE	40.366215	-80.009084
PARKLINE DR AT #1627	40.367023	-79.967483
RODGERS ST AT COX	40.367991	-79.917332
MIFFLIN RD AT #5419	40.368192	-79.910328
MIFFLIN RD OPP #5419	40.368218	-79.910484
LEBANON RD AT IRWIN	40.367878	-79.929699
HOMEVILLE RD AT AMERICAN MOTORS	40.368969	-79.87234
PARKLINE DR AT SKYLINE	40.367269	-79.964082
HWY RT 51 AT OLD CLAIRTON	40.366927	-79.984307
MCROBERTS RD OPP TRANCE	40.366511	-80.009123
BROWNSVILLE RD AT GRAD FS	40.367093	-79.979976
PARKLINE DR AT #1650	40.367373	-79.966973
LIBRARY RD AT GROVE	40.366471	-80.014608
MULDOWNEY AVE AT MULDOWNEY LOOP	40.368502	-79.913799
PRIVATE R/WAY AT MEMORIAL INBOUND STATION	40.366588	-80.016163
PARKLINE DR OPP #1650	40.367571	-79.966756
PRIVATE R/WAY AT MEMORIAL OUTBOUND STATION	40.366654	-80.01623
KENNEDY AVE AT CATHERINE	40.369737	-79.853536
CHARTIERS VALLEY SC AT TERMINUS (OLD RAX)	40.364783	-80.109869
PROVOST RD AT WHITEHALL	40.367106	-79.99363
MULDOWNEY AVE AT INTERBORO	40.368676	-79.91365
BROWNSVILLE RD AT BRENTRIDGE FS	40.367449	-79.978906
PROVOST RD OPP WHITEHALL CIR	40.36717	-79.993559
COX AVE AT MULDOWNEY	40.368637	-79.917452
SOMERVILLE DR AT SHIREVILLE	40.365632	-80.07451
MULDOWNEY AVE OPP MARGARET	40.368733	-79.915701
PARKLINE DR AT #1721	40.367814	-79.964436
OXFORD BLVD AT SOMERVILLE	40.36566	-80.074305
BROWNSVILLE RD AT BRENTRIDGE FS	40.367564	-79.9784
LIBRARY RD AT GROVE	40.366898	-80.014285
WEYMAN RD OPP FOXWOOD MANOR APTS	40.36728	-79.999143
PARKLINE DR AT #1695	40.367931	-79.965456
WEYMAN RD AT FOXWOOD MANOR APTS	40.367307	-79.999105
WASHINGTON PIKE AT ANDERSON EQUIPMENT	40.365144	-80.108268
PARKLINE DR AT #1695	40.367991	-79.965363
KENNEDY AVE AT AURILES	40.370252	-79.852709
CEDAR BLVD AT #1241	40.366333	-80.061168
HWY RT 51 AT #4040	40.36789	-79.983805
MIFFLIN RD OPP MCBRIDE	40.369331	-79.910865
HWY RT 51 AT PIZZA HUT	40.36797	-79.983508
AURILES ST AT KENNEDY	40.370456	-79.852737
MIFFLIN RD AT MCBRIDE NS	40.369393	-79.910633
BEGGS ST AT MIFFLIN	40.36938	-79.912685
WASHINGTON PIKE AT CHARTIERS VALLEY SC	40.365623	-80.108029
PRESTLEY RD OPP JONES	40.365486	-80.115403
CEDAR BLVD OPP BEADLING	40.366583	-80.061305
BEGGS ST AT MIFFIN FS	40.369495	-79.912758
OXFORD BLVD AT #675	40.366414	-80.073883
OXFORD BLVD AT #676	40.366424	-80.073966
WASHINGTON PIKE AT MAYER	40.365823	-80.107177
BROWNSVILLE RD AT BREDNICK	40.368415	-79.976708
BROWNSVILLE RD AT BREDNICK (#3902)	40.368437	-79.976909
MIFFLIN RD OPP INTERBORO	40.369692	-79.913094
WASHINGTON PIKE OPP MAYER	40.366111	-80.107121
INTERBORO AVE AT MIFFLIN	40.369947	-79.912972
SOMERVILLE DR OPP MOYNELLE	40.366825	-80.075827
MIFFLIN RD AT INTERBORO FS	40.369989	-79.913353
LEBANON RD AT #428	40.369718	-79.928484
PROVOST RD OPP FRANK	40.368481	-79.994238
SOMERVILLE DR AT MOYNELLE	40.366908	-80.076028
BOWER HILL RD AT ROCKHILL	40.36679	-80.086155
INTERBORO AVE AT LEASIDE #1 (MIFFLIN)	40.37018	-79.912756
BOWER HILL RD AT ROCKHILL	40.366821	-80.086342
PROVOST RD AT FRANK	40.368663	-79.994167
MCROBERTS RD OPP HAVELOCK	40.368497	-80.007486
BROWNSVILLE RD AT KAUFMANN FS	40.369117	-79.9758
BROWNSVILLE RD OPP KAUFMANN	40.369167	-79.97557
PRIVATE R/WAY AT CASTLE SHANNON STATION	40.368105	-80.03014
PRIVATE R/WAY AT CASTLE SHANNON STATION	40.368145	-80.030106
OXFORD BLVD AT #606	40.367255	-80.074989
CEDAR BLVD OPP LINDENDALE	40.367548	-80.061223
MORELAND DR AT #680	40.36734	-80.07224
MCROBERTS RD AT HAVELOCK	40.36865	-80.007326
MAPLEWOOD DR AT LAKEMONT	40.367516	-80.065448
GRANT AVE AT AURILES	40.371575	-79.853722
MORELAND DR AT KELSO	40.367404	-80.073151
MAPLEWOOD DR AT PINEWOOD	40.367543	-80.068014
NORMAN ST AT GRANT	40.37167	-79.852562
WASHINGTON PIKE OPP COLLIER GARAGE ENT	40.366798	-80.105879
KELSO RD AT MORELAND	40.367463	-80.073538
CHARTIERS VALLEY SC DR AT K-MART (FRONT)	40.366726	-80.110182
GRANT AVE AT ERWIN	40.371732	-79.853197
MAPLEWOOD DR AT ARROWOOD	40.367611	-80.068866
CEDAR BLVD AT LINDENDALE	40.367775	-80.061381
MORELAND DR AT #674	40.367696	-80.071699
GRANT AVE AT 7TH	40.371909	-79.852217
ARROWOOD DR OPP MAPLEWOOD	40.367785	-80.069026
GRANT AVE OPP 7TH	40.371957	-79.852234
SOMERVILLE DR AT NORSEN	40.367679	-80.076697
SOMERVILLE DR AT NORSEN	40.367722	-80.07685
CHARTIERS VALLEY SC AT SIDE OF K-MART	40.367109	-80.109631
MCROBERTS RD AT #3215	40.369182	-80.006199
MCROBERTS RD OPP #3215	40.369207	-80.006299
PRESTLEY RD OPP CHARLET	40.367124	-80.114875
MIFFLIN RD AT 4 OAKS PLAZA	40.371109	-79.914943
MIFFLIN RD OPP 4 OAKS PLAZA	40.371117	-79.915116
CHARTIERS VALLEY SC DR AT GIANT EAGLE	40.367353	-80.109026
WASHINGTON PIKE AT PIZZA HUT	40.367546	-80.104144
MCROBERTS RD OPP MARTHA	40.369602	-80.005334
OXFORD BLVD AT PEMBROKE FS	40.368236	-80.075974
SOMERVILLE DR AT PEMBROKE	40.36822	-80.077333
BOWER HILL RD AT VANADIUM	40.368127	-80.0841
SOMERVILLE DR AT PEMBROKE FS	40.368267	-80.07727
MCROBERTS RD AT MARTHA	40.369705	-80.00517
WASHINGTON PIKE AT GREAT SOUTHERN SC ENT #2	40.367735	-80.104208
PROVOST RD OPP MARGARET	40.369928	-79.994361
CHARTIERS VALLEY SC DR AT K-MART (REAR)	40.367615	-80.110696
PROVOST RD AT MARGARET	40.369969	-79.994471
OXFORD BLVD AT PEMBROKE	40.368371	-80.07597
LAKEMONT DR AT GLAIDS	40.368623	-80.065186
WEYMAN RD OPP MCROBERTS	40.370072	-79.997721
VANADIUM RD AT BOWER HILL	40.368363	-80.084319
HWY RT 51 AT MARYLEA	40.370416	-79.982246
MORELAND DR AT #637	40.368663	-80.072828
MORELAND DR AT #636	40.368702	-80.072972
INTERBORO AVE AT LEASIDE #2	40.37183	-79.912357
BROWNSVILLE RD AT WILLOCK	40.370645	-79.97524
BROWNSVILLE RD AT WILLOCK FS	40.370649	-79.975091
MCROBERTS RD AT WEYMAN	40.370261	-79.997949
WASHINGTON PIKE OPP GREAT SOUTHERN SHPG CTR	40.368218	-80.102951
PRIVATE R/WAY AT ARLINGTON	40.369638	-80.032545
VANADIUM RD AT BOWER HILL FS	40.368631	-80.084484
PRIVATE R/WAY AT ARLINGTON	40.369715	-80.032401
ARROWOOD DR AT #1230	40.368993	-80.069041
ARROWOOD DR OPP #1230	40.368999	-80.06893
LEBANON RD OPP GLOBAL INDUSTRIES DRIVEWAY	40.371767	-79.927011
WEYMAN RD AT MCROBERTS	40.370416	-79.99767
CEDAR BLVD AT #1163	40.36918	-80.060623
SOMERVILLE DR OPP SILLVIEW	40.368835	-80.077812
LEBANON RD OPP MILLER	40.371778	-79.927032
EARLSDALE RD AT MCROBERTS	40.370413	-79.998499
MCROBERTS RD AT #5134	40.370428	-79.999139
LIBRARY RD AT HAVELOCK	40.370214	-80.010384
PEMBROKE DR AT KELSO	40.368931	-80.075171
MCROBERTS RD AT EARLSDALE	40.370457	-79.998416
BOWER HILL RD AT VANADIUM	40.368762	-80.084091
INTERBORO AVE AT LEASIDE	40.372113	-79.912407
SOMERVILLE DR AT SILLVIEW	40.368902	-80.078009
KELSO RD OPP PEMBROKE	40.368976	-80.074948
MIFFLIN RD AT GLENHURST	40.372056	-79.916845
MCROBERTS RD OPP #5134	40.370482	-79.999156
HWY RT 51 AT DELCO	40.370814	-79.982397
MCROBERTS RD OPP 6TH	40.370462	-80.002452
MIFFLIN RD OPP GLENHURST	40.372107	-79.917063
LEBANON RD AT #101	40.37198	-79.927034
LEBANON RD AT #102	40.371999	-79.927134
MCROBERTS RD AT 6TH	40.370585	-80.002121
LIBRARY RD OPP HAVELOCK	40.370456	-80.010278
LEBANON RD AT MILLER	40.372058	-79.927081
FREDERICK CT AT LOUISA (MID-BLOCK)	40.371694	-79.94794
CEDAR BLVD AT #1154	40.369507	-80.060678
WASHINGTON PIKE AT GREAT SOUTHERN SC ENT #1	40.368776	-80.102347
MORELAND DR AT PEMBROKE	40.369413	-80.07378
WASHINGTON PIKE AT BERAM FS	40.368855	-80.101883
EARLSDALE RD AT DEEMER	40.370962	-79.998717
WILLETT RD OPP SONGO	40.371941	-79.954488
MORELAND DR OPP PEMBROKE	40.369681	-80.074229
SOMERVILLE DR OPP BERKWOOD	40.369643	-80.078549
SONGO ST AT WILLETT	40.37209	-79.954266
BROWNSVILLE RD OPP HILLMAN	40.371691	-79.975346
HOMEVILLE RD OPP MUNICIPAL	40.373636	-79.873653
VANADIUM RD AT ELMBROOK	40.369606	-80.086075
SOMERVILLE DR AT BERKWOOD	40.369757	-80.078723
GARY ST AT SCHUETTE FS	40.372193	-79.957466
CYNTHIA DR AT GARY FS	40.372239	-79.957313
VANADIUM RD AT ELMBROOK	40.369715	-80.086063
